scenario_idx,minADE,minFDE,miss
302,1.119605,1.845898,0
303,0.174148,0.061496,0
304,1.470761,1.207225,0
305,0.061772,0.096460,0
306,0.089751,0.206597,0
307,0.454323,0.603161,0
308,0.555830,0.984006,0
309,0.230087,0.014032,0
310,0.998866,1.746968,0
311,0.424740,0.330725,0
312,0.202724,0.053381,0
313,0.735291,1.140959,0
314,0.638115,1.465775,0
315,0.154846,0.195729,0
316,0.999184,1.832146,0
317,0.310732,0.522026,0
318,0.067911,0.087268,0
319,0.324179,0.681079,0
320,0.075523,0.068843,0
321,0.568811,1.024128,0
322,0.496599,0.404451,0
323,0.302576,0.420775,0
324,0.067452,0.045100,0
325,0.244082,0.230608,0
326,2.432790,4.315170,1
327,0.217156,0.229980,0
328,1.036131,2.734195,1
329,0.135469,0.066346,0
330,0.951739,1.228489,0
331,0.633405,0.498539,0
332,0.835569,2.080488,1
333,0.585812,0.122018,0
334,0.065098,0.025433,0
335,0.209461,0.473367,0
336,0.146292,0.132022,0
337,0.257390,0.505759,0
338,1.492522,3.392745,1
339,0.632354,1.081417,0
340,0.138863,0.131207,0
341,0.074581,0.049481,0
342,0.101796,0.105137,0
343,1.518286,2.052732,1
344,0.988432,1.662291,0
345,0.093989,0.024742,0
346,0.185046,0.093930,0
347,0.464821,0.535668,0
348,0.471407,0.839361,0
349,0.073015,0.075289,0
350,0.584579,0.712301,0
351,0.115764,0.110650,0
352,0.170462,0.125301,0
353,0.046955,0.086503,0
354,0.121810,0.086575,0
355,0.238041,0.418292,0
356,0.800983,0.764921,0
357,0.090965,0.100795,0
358,0.352754,0.599469,0
359,0.163819,0.031210,0
360,0.295547,0.566063,0
361,0.694859,0.509549,0
362,1.346458,4.254290,1
363,0.402607,0.760530,0
364,1.754373,2.436524,1
365,1.392859,0.664482,0
366,0.871869,2.301467,1
367,0.629986,0.789035,0
368,1.105278,2.234464,1
369,0.980547,2.515724,1
370,0.512057,0.767895,0
371,0.244414,0.216869,0
372,0.079439,0.088025,0
373,0.188444,0.113453,0
374,0.056014,0.028694,0
375,0.073567,0.082982,0
376,0.233328,0.312555,0
377,0.484176,0.778653,0
378,0.569086,1.263324,0
379,0.093604,0.070411,0
380,0.077104,0.054589,0
381,0.059038,0.033688,0
382,0.101134,0.099480,0
383,1.960137,5.223114,1
384,1.946610,4.746524,1
385,0.381220,0.683264,0
386,0.889440,2.860604,1
387,0.381502,0.581721,0
388,0.077327,0.078753,0
389,0.997819,2.020808,1
390,0.518147,0.855763,0
391,0.503808,1.048248,0
392,0.996892,1.724900,0
393,0.805281,1.220889,0
394,2.339943,4.070717,1
395,0.234810,0.266059,0
396,0.068174,0.062736,0
397,0.521854,1.267940,0
398,0.538322,0.634858,0
399,0.952961,1.410491,0
400,0.906838,0.286845,0
401,1.195610,3.178922,1
402,1.093901,3.658136,1
403,0.056334,0.052587,0
404,3.243333,7.072502,1
405,1.625217,1.834511,0
406,3.391067,4.202089,1
407,0.587012,0.885205,0
408,0.425944,0.859037,0
409,1.721705,2.197950,1
410,0.442624,0.765000,0
411,0.145096,0.080441,0
412,0.697701,0.886066,0
413,0.661665,0.418108,0
414,0.059533,0.202213,0
415,0.484431,1.364489,0
416,0.732273,0.870559,0
417,0.296437,0.478676,0
418,1.822141,3.631461,1
419,2.120810,3.567724,1
420,0.256396,0.404491,0
421,0.095803,0.108046,0
422,0.197713,0.286932,0
423,0.094426,0.107951,0
424,0.880510,2.057559,1
425,0.058746,0.030531,0
426,0.188198,0.041592,0
427,1.649177,2.338485,1
428,0.385721,0.725289,0
429,1.292968,2.027360,1
430,1.328835,1.607472,0
431,0.153637,0.273661,0
432,0.430238,0.633018,0
433,1.041638,2.652044,1
434,0.096993,0.064989,0
435,0.682386,1.093658,0
436,0.790525,2.531924,1
437,2.080633,3.326640,1
438,0.060635,0.028125,0
439,0.070675,0.054504,0
440,0.277832,0.432149,0
441,0.083053,0.082047,0
442,1.950495,2.906462,1
443,0.093655,0.074998,0
444,0.076831,0.044773,0
445,1.117500,1.888711,0
446,0.529176,0.893263,0
447,0.370053,0.725470,0
448,0.073465,0.068256,0
449,2.349218,5.006773,1
450,1.587162,3.972698,1
451,0.477709,0.296880,0
452,0.120991,0.126201,0
453,0.255513,0.418109,0
454,0.132708,0.119798,0
455,0.547634,1.626446,0
456,0.378067,1.173771,0
457,0.756137,1.054897,0
458,1.174570,2.845089,1
459,0.863808,1.949783,0
460,0.597865,0.973954,0
461,0.420608,0.541292,0
462,0.068326,0.050884,0
463,0.078953,0.080959,0
464,0.077380,0.079599,0
465,0.636816,1.056859,0
466,0.947357,1.497167,0
467,0.049336,0.051345,0
468,0.759280,0.603259,0
469,1.199430,4.803632,1
470,0.115434,0.088327,0
471,1.540868,2.754631,1
472,0.464092,0.760020,0
473,0.151002,0.304359,0
474,0.379992,0.443634,0
475,0.951350,2.292381,1
476,1.147306,3.341355,1
477,0.708743,1.176508,0
478,0.562983,1.184413,0
479,0.445098,0.993168,0
480,0.960548,2.171371,1
481,0.085107,0.093492,0
482,0.578444,0.889732,0
483,0.925932,1.200298,0
484,0.710948,1.336088,0
485,0.064162,0.202659,0
486,1.878689,1.974109,0
487,0.094237,0.050176,0
488,0.541690,1.314457,0
489,0.094910,0.042774,0
490,0.482932,1.013340,0
491,0.489379,0.648862,0
492,0.499243,1.279986,0
493,1.604141,2.324232,1
494,0.478541,1.052931,0
495,0.771422,0.883004,0
496,1.161334,5.051887,1
497,0.900280,0.698612,0
498,0.425650,0.516375,0
499,0.091542,0.076417,0
500,4.060200,6.564772,1
501,0.203199,0.061266,0
502,0.610533,0.606344,0
503,0.859225,2.318367,1
504,0.121752,0.107250,0
505,0.094871,0.040052,0
506,0.094813,0.082257,0
507,0.570841,0.581983,0
508,2.895620,3.527975,1
509,1.535343,1.906220,0
510,1.918163,5.146835,1
511,0.812903,0.805762,0
512,0.126269,0.169374,0
513,0.113601,0.114483,0
514,0.521014,0.933696,0
515,0.808712,0.771287,0
516,0.268830,0.363103,0
517,0.230638,0.334371,0
518,0.122401,0.132171,0
519,1.586178,6.095306,1
520,0.283653,0.512698,0
521,1.118786,2.478076,1
522,0.249802,0.516932,0
523,0.534020,1.278561,0
524,0.576566,0.540762,0
525,0.446472,0.287601,0
526,1.163381,2.908658,1
527,0.560793,2.388496,1
528,0.128759,0.131730,0
529,0.283285,0.630053,0
530,3.234335,9.158852,1
531,0.284597,0.287771,0
532,1.824325,6.985299,1
533,0.711609,1.341329,0
534,0.680353,0.709606,0
535,0.124711,0.166438,0
536,0.863488,0.680150,0
537,0.097957,0.107169,0
538,0.688592,1.844004,0
539,1.013850,2.005878,1
540,0.083949,0.087943,0
541,0.190427,0.323290,0
542,0.072934,0.079125,0
543,0.491164,0.665100,0
544,0.428914,0.544482,0
545,0.399477,0.595131,0
546,0.064053,0.058469,0
547,0.129175,0.079526,0
548,1.321733,3.480463,1
549,0.464736,1.057989,0
550,1.564085,3.081337,1
551,0.623546,1.023159,0
552,0.417367,0.785944,0
553,0.412692,0.620407,0
554,0.136607,0.084237,0
555,0.690827,1.078480,0
556,0.397465,0.852446,0
557,0.151679,0.265621,0
558,0.078949,0.079975,0
559,0.470776,0.728807,0
560,0.602850,1.499482,0
561,0.451367,0.418552,0
562,0.297947,0.560206,0
563,0.290594,0.635397,0
564,0.625144,0.959911,0
565,0.114214,0.109125,0
566,0.080618,0.073512,0
567,0.074702,0.071278,0
568,0.085742,0.098365,0
569,0.402351,0.999629,0
570,0.471546,0.905533,0
571,1.825445,4.676077,1
572,0.360140,0.519394,0
573,0.626284,0.277305,0
574,0.954977,1.694974,0
575,0.202757,0.209023,0
576,0.286116,0.351094,0
577,0.883608,1.680986,0
578,0.068073,0.053021,0
579,0.631249,1.369647,0
580,0.141366,0.030463,0
581,1.161758,1.223760,0
582,2.121812,2.075150,1
583,2.430700,2.038463,1
584,1.581642,3.094886,1
585,2.163177,4.211909,1
586,1.795046,3.083981,1
587,2.253945,3.247599,1
588,0.456220,0.676958,0
589,0.666720,0.601115,0
590,0.440363,0.332088,0
591,0.232156,0.430741,0
592,0.096172,0.152625,0
593,0.132417,0.085355,0
594,0.081073,0.102261,0
595,0.593830,0.748185,0
596,0.600018,1.440123,0
597,0.333594,0.276648,0
598,1.053890,2.383556,1
599,0.830208,1.376762,0
600,1.622824,2.526247,1
601,1.450507,1.385274,0
602,0.095683,0.086586,0
603,0.269379,0.581549,0
604,0.432929,0.650508,0
605,0.120484,0.081565,0
606,0.052487,0.026356,0
607,0.356028,0.853261,0
608,2.445910,6.439239,1
609,1.264085,3.821929,1
610,0.944621,2.288807,1
611,0.529659,1.326805,0
612,0.082529,0.019149,0
613,0.087444,0.060765,0
614,0.203093,0.298986,0
615,0.421733,0.637601,0
616,0.136707,0.012261,0
617,0.096373,0.074224,0
618,0.849365,0.901712,0
619,3.042991,4.088910,1
620,1.153966,3.389483,1
621,0.255873,0.350508,0
622,0.383027,0.723782,0
623,0.857475,1.005533,0
624,0.525459,1.808766,0
625,3.909791,11.860668,1
626,1.265222,4.450279,1
627,1.381317,4.420963,1
628,0.658276,0.872160,0
629,1.888470,1.684087,0
630,1.671604,1.751278,0
631,0.894007,2.016739,1
632,0.075844,0.074661,0
633,1.614333,3.255373,1
634,1.484020,2.178411,1
635,0.726822,2.732671,1
636,0.453297,0.113985,0
637,0.399890,0.376471,0
638,0.054764,0.043584,0
639,1.415014,1.788326,0
640,0.247791,0.527577,0
641,0.430613,1.107901,0
642,0.498314,1.521083,0
643,3.416690,9.574665,1
644,1.691424,2.153671,1
645,0.369033,0.429913,0
646,0.088402,0.109297,0
647,0.119439,0.099558,0
648,1.275006,2.864488,1
649,0.160917,0.175512,0
650,0.553723,0.706654,0
651,2.600569,7.163949,1
652,0.835911,1.499655,0
653,1.522642,3.253991,1
654,0.328873,0.755808,0
655,2.320553,6.882486,1
656,1.469905,1.345760,0
657,0.100492,0.117277,0
658,0.870999,1.191999,0
659,0.063838,0.058720,0
660,0.317260,0.824401,0
661,1.435611,1.838784,0
662,0.387620,0.947403,0
663,1.385385,2.409845,1
664,0.319364,0.654066,0
665,0.077082,0.051621,0
666,0.083235,0.069499,0
667,0.619159,0.912796,0
668,0.342062,0.434469,0
669,0.366912,0.412618,0
670,0.487102,0.903423,0
671,1.371926,2.842497,1
672,0.095757,0.104422,0
673,0.706509,0.589543,0
674,0.136217,0.126612,0
675,0.632196,0.374061,0
676,1.079672,1.609885,0
677,0.152251,0.181410,0
678,0.245530,0.149181,0
679,0.267034,0.317679,0
680,0.248670,0.086557,0
681,0.102841,0.100996,0
682,0.112207,0.116339,0
683,0.072388,0.074788,0
684,0.578806,0.885340,0
685,0.143131,0.039554,0
686,1.378004,1.538135,0
687,0.408571,0.787461,0
688,0.058815,0.052753,0
689,0.549370,0.925070,0
690,1.100948,1.707732,0
691,1.814815,0.817016,0
692,0.066727,0.068379,0
693,2.986636,9.327073,1
694,0.323585,0.314754,0
695,0.486937,1.111778,0
696,2.765327,0.285627,0
697,0.167459,0.220846,0
698,0.121255,0.119496,0
699,0.484698,0.830506,0
700,1.379020,2.996942,1
701,0.203798,0.052419,0
702,2.411628,6.028373,1
